time,epoch,train_loss,val_loss,psnr,ssim,is_best,best_metric,best_metric_value,best_checkpoint
time=2025-10-14 09:35:36,epoch=128,train_loss=0.019276,val_loss=0.022141,psnr=25.956454,ssim=0.787653,is_best=True,best_metric=ssim,best_metric_value=0.787653,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 09:37:16,epoch=129,train_loss=0.019239,val_loss=0.022154,psnr=25.911790,ssim=0.787358,is_best=False,best_metric=ssim,best_metric_value=0.787653,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 09:38:56,epoch=130,train_loss=0.019207,val_loss=0.022221,psnr=25.843616,ssim=0.786341,is_best=False,best_metric=ssim,best_metric_value=0.787653,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 09:40:36,epoch=131,train_loss=0.019170,val_loss=0.022240,psnr=25.905780,ssim=0.786045,is_best=False,best_metric=ssim,best_metric_value=0.787653,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 09:42:15,epoch=132,train_loss=0.019158,val_loss=0.022179,psnr=25.910551,ssim=0.786254,is_best=False,best_metric=ssim,best_metric_value=0.787653,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 09:43:55,epoch=133,train_loss=0.019147,val_loss=0.022179,psnr=25.928847,ssim=0.786453,is_best=False,best_metric=ssim,best_metric_value=0.787653,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 09:45:35,epoch=134,train_loss=0.019104,val_loss=0.022133,psnr=25.882255,ssim=0.785479,is_best=False,best_metric=ssim,best_metric_value=0.787653,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 09:47:14,epoch=135,train_loss=0.019074,val_loss=0.022136,psnr=25.945517,ssim=0.787069,is_best=False,best_metric=ssim,best_metric_value=0.787653,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 09:48:54,epoch=136,train_loss=0.019050,val_loss=0.022082,psnr=25.940524,ssim=0.787706,is_best=True,best_metric=ssim,best_metric_value=0.787706,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 09:50:34,epoch=137,train_loss=0.019032,val_loss=0.022044,psnr=25.950849,ssim=0.787189,is_best=False,best_metric=ssim,best_metric_value=0.787706,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 09:52:14,epoch=138,train_loss=0.018991,val_loss=0.022151,psnr=25.961287,ssim=0.788935,is_best=True,best_metric=ssim,best_metric_value=0.788935,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 09:53:54,epoch=139,train_loss=0.018986,val_loss=0.022071,psnr=25.935237,ssim=0.786824,is_best=False,best_metric=ssim,best_metric_value=0.788935,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 09:55:33,epoch=140,train_loss=0.018951,val_loss=0.021998,psnr=26.005571,ssim=0.788210,is_best=False,best_metric=ssim,best_metric_value=0.788935,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 09:57:13,epoch=141,train_loss=0.018917,val_loss=0.021973,psnr=26.007024,ssim=0.788789,is_best=False,best_metric=ssim,best_metric_value=0.788935,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 09:58:53,epoch=142,train_loss=0.018881,val_loss=0.022032,psnr=26.007198,ssim=0.789419,is_best=True,best_metric=ssim,best_metric_value=0.789419,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 10:00:33,epoch=143,train_loss=0.018873,val_loss=0.021946,psnr=26.024213,ssim=0.788922,is_best=False,best_metric=ssim,best_metric_value=0.789419,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 10:02:13,epoch=144,train_loss=0.018850,val_loss=0.021898,psnr=26.044619,ssim=0.790377,is_best=True,best_metric=ssim,best_metric_value=0.790377,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 10:03:53,epoch=145,train_loss=0.018825,val_loss=0.022012,psnr=26.045115,ssim=0.790348,is_best=False,best_metric=ssim,best_metric_value=0.790377,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 10:05:33,epoch=146,train_loss=0.018795,val_loss=0.021908,psnr=26.042983,ssim=0.789711,is_best=False,best_metric=ssim,best_metric_value=0.790377,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 10:07:13,epoch=147,train_loss=0.018778,val_loss=0.021890,psnr=26.070695,ssim=0.790890,is_best=True,best_metric=ssim,best_metric_value=0.790890,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 10:08:53,epoch=148,train_loss=0.018763,val_loss=0.021863,psnr=26.069887,ssim=0.790018,is_best=False,best_metric=ssim,best_metric_value=0.790890,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 10:10:32,epoch=149,train_loss=0.018745,val_loss=0.021868,psnr=26.037706,ssim=0.789447,is_best=False,best_metric=ssim,best_metric_value=0.790890,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 10:12:12,epoch=150,train_loss=0.018734,val_loss=0.021873,psnr=26.045121,ssim=0.790002,is_best=False,best_metric=ssim,best_metric_value=0.790890,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 10:13:52,epoch=151,train_loss=0.018691,val_loss=0.021873,psnr=26.058107,ssim=0.789573,is_best=False,best_metric=ssim,best_metric_value=0.790890,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 10:15:32,epoch=152,train_loss=0.018670,val_loss=0.021844,psnr=26.044089,ssim=0.790660,is_best=False,best_metric=ssim,best_metric_value=0.790890,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 10:17:12,epoch=153,train_loss=0.018652,val_loss=0.021849,psnr=26.059718,ssim=0.791176,is_best=True,best_metric=ssim,best_metric_value=0.791176,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 10:18:52,epoch=154,train_loss=0.018637,val_loss=0.021830,psnr=26.100378,ssim=0.791418,is_best=True,best_metric=ssim,best_metric_value=0.791418,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 10:20:32,epoch=155,train_loss=0.018594,val_loss=0.021807,psnr=26.038808,ssim=0.789814,is_best=False,best_metric=ssim,best_metric_value=0.791418,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 10:22:12,epoch=156,train_loss=0.018582,val_loss=0.021773,psnr=26.071207,ssim=0.790581,is_best=False,best_metric=ssim,best_metric_value=0.791418,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 10:23:52,epoch=157,train_loss=0.018536,val_loss=0.021745,psnr=26.111319,ssim=0.790450,is_best=False,best_metric=ssim,best_metric_value=0.791418,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
time=2025-10-14 10:25:31,epoch=158,train_loss=0.018555,val_loss=0.021740,psnr=26.112285,ssim=0.791996,is_best=True,best_metric=ssim,best_metric_value=0.791996,best_checkpoint=checkpoints\unet_dehazing\unet_best.pth
